Filename,PassSequence,OverOz,error
after_cleaned_train/blas-v0_163_lsame_.ll,"['--strip-nondebug', '--globalopt', '--loop-data-prefetch', '--mergefunc', '--instnamer', '--nary-reassociate', '--slp-vectorizer', '--correlated-propagation', '--separate-const-offset-from-gep', '--loop-load-elim', '--slsr', '--loop-guard-widening', '--coro-elide', '--newgvn']",3.85,
after_cleaned_train/blas-v0_30_lsame_.ll,"['--div-rem-pairs', '--globalsplit', '--libcalls-shrinkwrap', '--strip-dead-prototypes', '--ipconstprop', '--attributor', '--lower-widenable-condition', '--jump-threading', '--instnamer', '--loop-distribute', '--functionattrs', '--called-value-propagation', '--separate-const-offset-from-gep', '--slp-vectorizer', '--loop-vectorize']",3.85,
after_cleaned_train/cbench-v1_bitcount_AR_btbl_bitcount.ll,"['--lowerswitch', '--loop-predication', '--newgvn', '--jump-threading', '--coro-elide', '--argpromotion', '--loop-vectorize', '--gvn', '--sancov', '--sroa', '--die']",51.79,
after_cleaned_train/cbench-v1_bitcount_BW_btbl_bitcount.ll,"['--slp-vectorizer', '--loop-fusion', '--flattencfg', '--elim-avail-extern', '--sroa', '--globaldce', '--break-crit-edges', '--loop-load-elim', '--ipconstprop', '--speculative-execution', '--instcombine']",45.24,
after_cleaned_train/cbench-v1_bitcount_bfread.ll,"['--tailcallelim', '--elim-avail-extern', '--cross-dso-cfi', '--mldst-motion', '--mem2reg', '--lower-expect', '--instcombine', '--coro-split', '--newgvn', '--loop-versioning', '--rewrite-statepoints-for-gc']",36.84,
after_cleaned_train/cbench-v1_bitcount_bit_shifter.ll,"['--loop-unroll', '--prune-eh', '--instcombine', '--newgvn', '--coro-elide', '--jump-threading', '--float2int', '--sroa', '--inline', '--slsr']",62.5,
after_cleaned_train/cbench-v1_bitcount_bstr_i.ll,"['--callsite-splitting', '--early-cse', '--instcombine', '--speculative-execution', '--memcpyopt', '--early-cse-memssa', '--canonicalize-aliases', '--sroa', '--simplifycfg']",58.33,
after_cleaned_train/cbench-v1_bitcount_ntbl_bitcount.ll,"['--ipsccp', '--infer-address-spaces', '--mem2reg', '--instcombine', '--load-store-vectorizer', '--lowerinvoke', '--globalopt', '--attributor', '--loop-vectorize', '--loop-simplifycfg', '--coro-cleanup', '--globaldce', '--alignment-from-assumptions', '--loop-distribute']",35.62,
after_cleaned_train/cbench-v1_crc32_crc32buf.ll,"['--loop-unroll', '--early-cse', '--sccp', '--forceattrs', '--mem2reg', '--load-store-vectorizer', '--memcpyopt', '--attributor', '--jump-threading', '--licm', '--rewrite-statepoints-for-gc', '--functionattrs', '--gvn', '--sancov', '--strip-dead-prototypes']",48.65,
after_cleaned_train/cbench-v1_crc32_main1.ll,"['--dse', '--coro-early', '--early-cse', '--strip', '--insert-gcov-profiling', '--elim-avail-extern', '--loop-idiom', '--loop-unroll-and-jam', '--inferattrs', '--mem2reg']",40.0,
after_cleaned_train/cbench-v1_dijkstra_print_path.ll,"['--loop-unswitch', '--sink', '--gvn', '--correlated-propagation', '--early-cse-memssa', '--lower-matrix-intrinsics', '--loop-load-elim', '--licm', '--libcalls-shrinkwrap', '--instcombine', '--ipconstprop', '--bdce', '--inline', '--separate-const-offset-from-gep', '--aggressive-instcombine']",57.69,
after_cleaned_train/cbench-v1_qsort_compare.ll,"['--called-value-propagation', '--mldst-motion', '--mem2reg', '--sink', '--irce', '--loop-distribute', '--bdce', '--simplifycfg']",70.27,
after_cleaned_train/cbench-v1_qsort_swap.ll,"['--lower-constant-intrinsics', '--scalarizer', '--sccp', '--sroa', '--coro-elide', '--inject-tli-mappings', '--simplifycfg', '--lower-expect', '--barrier', '--instcombine']",55.56,
after_cleaned_train/cbench-v1_sha_sha_init.ll,"['--guard-widening', '--consthoist', '--cross-dso-cfi', '--mem2reg', '--instcombine', '--speculative-execution', '--constmerge', '--load-store-vectorizer', '--licm', '--early-cse-memssa', '--loop-versioning-licm', '--post-inline-ee-instrument']",58.62,
after_cleaned_train/cbench-v1_sha_sha_print.ll,"['--sccp', '--mem2reg', '--loop-predication', '--instcombine', '--globalopt', '--sink', '--indvars', '--rewrite-statepoints-for-gc', '--deadargelim', '--lower-widenable-condition', '--strip-dead-prototypes', '--correlated-propagation', '--slp-vectorizer', '--name-anon-globals', '--instsimplify']",50.0,
after_cleaned_train/cbench-v1_sha_sha_stream.ll,"['--partially-inline-libcalls', '--mldst-motion', '--instcombine', '--coro-split', '--newgvn', '--adce', '--functionattrs', '--gvn', '--sroa', '--div-rem-pairs']",56.25,
after_cleaned_train/cbench-v1_stringsearch2_local_strncmp.ll,"['--infer-address-spaces', '--strip', '--mem2reg', '--lcssa', '--nary-reassociate', '--newgvn', '--partial-inliner', '--gvn', '--mergeicmps', '--pgo-memop-opt', '--reassociate', '--inject-tli-mappings', '--simplifycfg']",52.94,
after_cleaned_train/cbench-v1_stringsearch_init_search.ll,"['--callsite-splitting', '--forceattrs', '--mem2reg', '--break-crit-edges', '--loop-versioning', '--early-cse-memssa', '--loop-reroll', '--gvn-hoist', '--alignment-from-assumptions', '--gvn', '--bdce', '--simplifycfg']",51.02,
after_cleaned_train/chstone-v0_adpcm_filtep.ll,"['--ipconstprop', '--newgvn', '--loop-load-elim', '--loop-reroll', '--rewrite-statepoints-for-gc', '--rpo-functionattrs', '--partially-inline-libcalls', '--sroa', '--partial-inliner', '--gvn']",71.43,
after_cleaned_train/chstone-v0_adpcm_filtez.ll,"['--loop-instsimplify', '--aggressive-instcombine', '--mem2reg', '--instcombine', '--prune-eh', '--lcssa', '--licm', '--float2int', '--slp-vectorizer', '--instnamer', '--gvn', '--libcalls-shrinkwrap', '--bdce', '--inline']",53.7,
after_cleaned_train/chstone-v0_adpcm_logscl.ll,"['--post-inline-ee-instrument', '--adce', '--strip-nondebug', '--sroa', '--loop-idiom', '--instsimplify', '--pgo-memop-opt', '--dce', '--argpromotion', '--globalsplit', '--deadargelim', '--indvars', '--simplifycfg']",60.0,
after_cleaned_train/chstone-v0_adpcm_scalel.ll,"['--gvn-hoist', '--strip-dead-prototypes', '--partially-inline-libcalls', '--argpromotion', '--coro-split', '--ipconstprop', '--alignment-from-assumptions', '--loop-load-elim', '--gvn', '--coro-elide', '--attributor', '--pgo-memop-opt', '--sroa', '--bdce']",71.79,
after_cleaned_train/chstone-v0_adpcm_uppol1.ll,"['--called-value-propagation', '--lowerswitch', '--early-cse', '--aggressive-instcombine', '--loop-predication', '--globalopt', '-loop-reduce', '--sroa', '--name-anon-globals', '--simplifycfg', '--loop-interchange', '--loop-versioning']",72.73,
after_cleaned_train/chstone-v0_blowfish_local_memcpy.ll,"['--loop-fusion', '--hotcoldsplit', '--coro-elide', '--reassociate', '--memcpyopt', '--canonicalize-aliases', '--barrier', '--sroa', '--loop-distribute', '--guard-widening', '--break-crit-edges', '--instcombine', '--alignment-from-assumptions', '--dse', '--loop-interchange']",65.79,
after_cleaned_train/chstone-v0_dfadd_countLeadingZeros32.ll,"['--loop-instsimplify', '--strip', '--separate-const-offset-from-gep', '--mem2reg', '--consthoist', '--irce', '--ipsccp', '--simplifycfg', '--break-crit-edges', '--partially-inline-libcalls', '--adce', '--loop-interchange', '--loop-unroll-and-jam', '--early-cse', '--loop-distribute']",60.53,
after_cleaned_train/chstone-v0_dfadd_float64_add.ll,"['--sroa', '--loop-deletion', '--gvn-hoist', '--simplifycfg', '--loop-versioning', '--libcalls-shrinkwrap', '--mem2reg', '--pgo-memop-opt', '--aggressive-instcombine', '--hotcoldsplit', '--inject-tli-mappings', '--loop-versioning-licm', '--globalopt', '--slsr', '--post-inline-ee-instrument']",76.19,
after_cleaned_train/chstone-v0_dfadd_shift64RightJamming.ll,"['--coro-early', '--loop-predication', '--lower-expect', '--mergefunc', '--mem2reg', '--nary-reassociate', '--instcombine', '--jump-threading', '--redundant-dbg-inst-elim', '--gvn', '--loop-load-elim', '--loop-data-prefetch']",57.45,
after_cleaned_train/chstone-v0_dfdiv_add128.ll,"['--guard-widening', '--mem2reg', '--instcombine', '--lower-constant-intrinsics', '--coro-split', '--loop-unroll-and-jam', '--mergeicmps', '--barrier']",77.78,
after_cleaned_train/chstone-v0_dfdiv_countLeadingZeros32.ll,"['--ipsccp', '--loop-simplify', '--cross-dso-cfi', '--coro-split', '--loop-vectorize', '--instnamer', '--rpo-functionattrs', '--sroa', '--gvn', '--strip-dead-prototypes', '--lower-widenable-condition', '--post-inline-ee-instrument', '--simplifycfg', '--loop-guard-widening', '--add-discriminators']",60.53,
after_cleaned_train/chstone-v0_dfdiv_shift64RightJamming.ll,"['--tailcallelim', '--loop-predication', '--instcombine', '--speculative-execution', '--lcssa', '--strip-dead-prototypes', '--sroa', '--insert-gcov-profiling', '--barrier', '--inject-tli-mappings', '--simplifycfg']",57.45,
after_cleaned_train/chstone-v0_dfmul_countLeadingZeros32.ll,"['--mldst-motion', '--early-cse', '--mem2reg', '--lower-expect', '--lcssa', '--break-crit-edges', '--globalopt', '--coro-elide', '--loop-reroll', '--argpromotion', '--pgo-memop-opt', '--strip-debug-declare', '--ipconstprop', '--inject-tli-mappings', '--simplifycfg']",60.53,
after_cleaned_train/chstone-v0_dfmul_shift64RightJamming.ll,"['--cross-dso-cfi', '--instcombine', '--lowerinvoke', '--loweratomic', '--early-cse-memssa', '--jump-threading', '--sink', '--correlated-propagation', '--adce', '--sroa', '--sancov', '--globaldce', '--coro-elide', '--loop-data-prefetch']",57.45,
