Filename,Autophase_embedding,PassSequence,OverOz
blas-v0/blas-v0_140.ll,"[1,0,3,2,1,2,0,0,0,2,1,1,0,4,1,4,0,1,6,5,0,3,2,2,1,0,0,0,0,1,4,6,4,3,0,0,0,2,0,1,2,1,0,3,0,6,0,0,0,0,5,48,11,3,6,8]","['--scalarizer','--early-cse-memssa','--die','--mem2reg','--early-cse-memssa','--loop-fusion','--nary-reassociate','--early-cse-memssa','--correlated-propagation','--lower-constant-intrinsics','--mergefunc','--inline','--early-cse','--gvn','--gvn-hoist','--lower-constant-intrinsics','--globalopt','--newgvn','--lower-constant-intrinsics','--gvn','--jump-threading','--mergefunc']",0.125
blas-v0/blas-v0_149.ll,"[1,5,8,3,5,5,5,2,3,10,2,6,0,10,6,15,0,12,25,22,15,4,20,5,15,0,12,0,1,4,12,16,15,0,10,11,0,14,2,1,10,1,4,1,0,6,4,1,2,2,16,135,30,1,21,37]","['--instcombine','--adce','--simplifycfg','--mem2reg','--newgvn','--die','--gvn','--gvn-hoist','--instcombine','--lower-expect','--dse','--inline','--early-cse','--correlated-propagation','--dce','--reassociate','--early-cse-memssa','--loop-simplifycfg','--early-cse','--indvars','--simplifycfg','--elim-avail-extern','--gvn','--loop-reroll','--gvn','--gvn-hoist','--licm','--newgvn','--simplifycfg','--mem2reg','--instcombine','--adce']",0.0
blas-v0/blas-v0_151.ll,"[0,0,2,2,0,2,1,0,0,1,0,0,0,4,0,3,0,0,4,26,8,18,16,2,3,0,0,2,0,2,2,18,3,10,8,0,0,18,0,0,0,1,0,0,0,9,0,0,0,0,4,128,47,5,0,50]","['--loop-simplifycfg','--load-store-vectorizer','--indvars','--instcombine','--load-store-vectorizer','--jump-threading','--simplifycfg','--reassociate','--slp-vectorizer','--correlated-propagation','--load-store-vectorizer','--indvars','--gvn','--memcpyopt','--jump-threading','--instcombine','--dce','--early-cse','--ipsccp','--inline','--newgvn','--slsr','--loop-reroll','--instsimplify','--jump-threading','--slp-vectorizer','--lower-constant-intrinsics','--nary-reassociate']",0.1496062992125984
blas-v0/blas-v0_134.ll,"[9,8,42,17,25,23,15,0,15,43,9,14,3,50,17,66,0,44,109,146,81,58,100,23,84,0,88,1,7,13,54,28,66,4,59,45,0,46,14,9,39,1,13,8,15,24,37,9,4,14,67,671,134,3,85,117]","['--strip','--mergefunc','--early-cse-memssa','--early-cse-memssa','--ipsccp','--gvn-hoist','--slp-vectorizer','--simplifycfg','--jump-threading','--mergefunc','--ipsccp','--instcombine','--newgvn','--mergefunc']",0.0125195618153364
blas-v0/blas-v0_163.ll,"[0,1,1,1,0,1,1,0,0,1,0,1,0,2,1,2,0,1,3,4,0,1,1,1,5,0,4,0,1,1,2,2,2,0,0,5,0,4,0,0,1,1,2,2,0,0,0,0,0,2,3,26,4,1,2,10]","['--lower-constant-intrinsics','--gvn-hoist','--early-cse','--slp-vectorizer','--nary-reassociate','--dse','--early-cse','--mergefunc']",0.0384615384615384
blas-v0/blas-v0_110.ll,"[12,12,43,20,23,25,27,4,23,49,4,19,5,51,24,74,0,55,123,90,68,25,69,25,56,0,68,1,6,12,63,57,74,5,51,46,0,63,6,2,62,1,17,5,1,25,21,7,2,7,75,608,145,4,125,152]","['--newgvn','--jump-threading','--newgvn','--globalopt','--newgvn','--dce','--sroa','--early-cse-memssa','--correlated-propagation','--gvn-hoist','--slp-vectorizer','--simplifycfg','--jump-threading','--mergefunc','--simplifycfg','--mergefunc','--slp-vectorizer','--load-store-vectorizer','--indvars','--instcombine','--early-cse','--instsimplify','--gvn','--inline','--newgvn','--instcombine','--nary-reassociate','--correlated-propagation','--early-cse','--early-cse-memssa','--instsimplify','--gvn-hoist','--early-cse-memssa','--correlated-propagation','--load-store-vectorizer','--indvars','--instcombine','--early-cse','--instsimplify','--gvn','--memcpyopt','--gvn-hoist','--lower-constant-intrinsics','--simplifycfg','--gvn-hoist','--gvn','--sccp','--early-cse-memssa','--simplifycfg','--adce']",0.0051903114186851
blas-v0/blas-v0_184.ll,"[2,6,11,4,7,6,6,1,5,14,3,8,0,13,8,20,0,17,34,33,19,8,22,6,21,0,22,0,2,7,14,24,20,0,12,17,0,16,6,2,14,1,4,2,0,8,6,2,2,4,21,196,36,1,32,50]","['--inferattrs','--newgvn','--newgvn','--dse','--instcombine','--slp-vectorizer','--simplifycfg','--slp-vectorizer','--mem2reg','--early-cse-memssa','--instcombine','--mem2reg','--inline','--mem2reg','--newgvn','--newgvn','--dse','--instcombine','--slp-vectorizer','--jump-threading']",0.0
blas-v0/blas-v0_193.ll,"[1,3,8,2,6,3,3,0,3,10,2,4,0,10,4,13,0,12,23,27,21,10,19,3,16,0,16,0,1,5,9,14,13,0,12,13,0,11,1,2,7,1,1,2,2,5,2,1,2,4,14,138,28,1,16,33]","['--gvn-hoist','--dce','--reassociate','--dse','--slp-vectorizer','--correlated-propagation','--simplifycfg','--dse','--instsimplify','--slp-vectorizer','--indvars','--load-store-vectorizer','--early-cse-memssa','--instcombine','--inline','--newgvn','--die','--jump-threading','--simplifycfg','--load-store-vectorizer','--early-cse','-loop-reduce','--early-cse','--loop-reroll','--newgvn','--inline','--jump-threading','--newgvn','--gvn','--inline','--instcombine','--dce']",0.08
blas-v0/blas-v0_2.ll,"[1,3,6,3,3,4,3,1,2,7,2,4,0,8,4,11,0,8,18,15,9,2,14,4,7,0,7,0,0,0,12,12,11,0,8,7,0,6,2,0,7,1,4,0,0,2,2,0,0,0,12,69,16,1,15,22]","['--lowerswitch','--gvn','--instsimplify','--jump-threading','--gvn-hoist','--newgvn','--simplifycfg','--mem2reg','--simplifycfg','--mem2reg','--newgvn','--gvn-hoist','--globalopt','--mem2reg','--gvn-hoist','--adce','--early-cse','--early-cse-memssa']",0.0
blas-v0/blas-v0_198.ll,"[7,1,17,9,8,12,7,2,4,14,2,3,5,19,8,26,0,11,40,10,8,7,5,12,3,0,0,0,6,2,25,11,26,5,4,0,0,4,0,0,38,1,0,19,0,22,0,0,0,0,27,200,35,2,101,15]","['--inline','--gvn-hoist','--nary-reassociate','--load-store-vectorizer','--simplifycfg','--instcombine','--simplifycfg','--newgvn','--nary-reassociate','--instcombine','--correlated-propagation','--early-cse-memssa','--sroa','--bdce','--instcombine','--load-store-vectorizer','--simplifycfg','--instcombine','--simplifycfg','--newgvn','--nary-reassociate','--instcombine','--correlated-propagation','--load-store-vectorizer','--mergefunc','--sroa','--dce','--sroa','--early-cse-memssa','--correlated-propagation','--gvn-hoist','--slp-vectorizer','--simplifycfg','--jump-threading','--mergefunc','--ipsccp','--gvn-hoist']",0.0101010101010101
blas-v0/blas-v0_205.ll,"[1,3,8,2,6,3,3,0,3,10,2,4,0,10,4,13,0,12,23,24,19,7,17,3,16,0,16,0,1,4,10,12,13,0,10,13,0,9,1,2,7,1,1,2,2,5,2,1,2,4,14,118,24,1,16,29]","['--lower-expect','--adce','--early-cse','--indvars','--load-store-vectorizer','--early-cse-memssa','--slp-vectorizer','--sroa','--loop-rotate','--inline','--dse','--correlated-propagation','--lower-expect','--simplifycfg','--slp-vectorizer','--lower-expect','--instcombine','--inline','--newgvn','--die','--jump-threading','--simplifycfg','--load-store-vectorizer','--early-cse','-loop-reduce','--early-cse','--loop-reroll','--newgvn','--inline','--jump-threading','--newgvn','--gvn','--inline','--instcombine','--dce']",0.1142857142857142
blas-v0/blas-v0_208.ll,"[1,5,8,3,5,5,5,2,3,10,2,6,0,10,6,15,0,12,25,36,17,16,22,5,15,0,12,0,1,5,11,24,15,0,14,11,0,14,2,1,10,1,4,1,0,6,4,1,2,2,16,171,34,1,21,45]","['--indvars','--slp-vectorizer','--gvn','--load-store-vectorizer','--simplifycfg','--loop-rotate','--gvn-hoist','--dce','--newgvn','--gvn-hoist','--dce','--newgvn','--simplifycfg','--mem2reg','--reassociate','--gvn','--instcombine','--inline','--early-cse','--correlated-propagation','--dce','--reassociate','--early-cse-memssa','--loop-simplifycfg','--early-cse','--sroa','--dce','--gvn','--load-store-vectorizer','--simplifycfg','--loop-rotate','--instcombine','--inline','--early-cse','--correlated-propagation','--dce','--reassociate','--early-cse-memssa','--loop-simplifycfg','--early-cse','--indvars','--simplifycfg','--correlated-propagation','--bdce','--dse','--lower-expect','--simplifycfg','--die','--newgvn','--gvn-hoist','--dce','--newgvn','--simplifycfg','--mem2reg','--reassociate','--gvn','--instcombine','--inline','--early-cse','--correlated-propagation','--dce','--reassociate','--early-cse-memssa','--loop-simplifycfg','--early-cse','--indvars','--simplifycfg','--die','--newgvn','--gvn-hoist','--dce','--newgvn','--simplifycfg','--mem2reg','--reassociate','--gvn','--instcombine','--inline','--early-cse','--die']",0.0463576158940397
